imgName,MVCorr,MVResp,noConsc,ObjCorr,ObjResp,repN,cond,participant,ObjError,leeftijd.response,manvrouw.response,agegroup,agecount,condition,gender
gist/vrouw38.png,v,1,0,10,10,0,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw39.png,v,1,0,10,11,0,3,2017_Oct_18_1430,90,20,1,17-30 jaar,0,3 objecten,man
gist/man29.png,m,1,0,11,13,0,4,2017_Oct_18_1430,81.81818181818181,20,1,17-30 jaar,0,4 objecten,man
gist/man5.png,m,1,0,8,8,1,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man26.png,m,1,0,12,11,1,3,2017_Oct_18_1430,91.66666666666666,20,1,17-30 jaar,0,3 objecten,man
gist/man34.png,m,1,0,15,12,1,4,2017_Oct_18_1430,80,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw30.png,v,1,0,10,10,2,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw10.png,v,1,0,11,11,2,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/man30.png,m,1,0,17,10,2,4,2017_Oct_18_1430,58.82352941176471,20,1,17-30 jaar,0,4 objecten,man
gist/man38.png,m,1,0,12,12,3,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw8.png,v,1,0,10,9,3,3,2017_Oct_18_1430,90,20,1,17-30 jaar,0,3 objecten,man
gist/man7.png,m,1,0,14,13,3,4,2017_Oct_18_1430,92.85714285714286,20,1,17-30 jaar,0,4 objecten,man
gist/man28.png,m,1,0,10,10,4,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man6.png,m,1,0,10,10,4,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/vrouw17.png,v,1,0,13,11,4,4,2017_Oct_18_1430,84.61538461538461,20,1,17-30 jaar,0,4 objecten,man
gist/man10.png,m,1,0,8,8,5,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man1.png,m,1,0,12,9,5,3,2017_Oct_18_1430,75,20,1,17-30 jaar,0,3 objecten,man
gist/man22.png,m,1,0,14,11,5,4,2017_Oct_18_1430,78.57142857142857,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw11.png,v,1,0,9,9,6,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man15.png,m,1,0,10,12,6,3,2017_Oct_18_1430,80,20,1,17-30 jaar,0,3 objecten,man
gist/vrouw13.png,v,1,0,13,11,6,4,2017_Oct_18_1430,84.61538461538461,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw20.png,v,1,0,9,9,7,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw37.png,v,1,0,12,12,7,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/man12.png,m,1,0,15,8,7,4,2017_Oct_18_1430,53.333333333333336,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw32.png,v,1,0,10,10,8,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw4.png,v,1,0,10,10,8,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/man3.png,m,1,0,14,12,8,4,2017_Oct_18_1430,85.71428571428572,20,1,17-30 jaar,0,4 objecten,man
gist/man14.png,m,1,0,9,9,9,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man17.png,m,0,0,10,10,9,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/vrouw25.png,v,0,0,12,11,9,4,2017_Oct_18_1430,91.66666666666666,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw1.png,v,0,0,11,9,10,2,2017_Oct_18_1430,81.81818181818181,20,1,17-30 jaar,0,2 objecten,man
gist/man40.png,m,1,0,10,10,10,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/vrouw26.png,v,1,0,16,12,10,4,2017_Oct_18_1430,75,20,1,17-30 jaar,0,4 objecten,man
gist/man8.png,m,1,0,10,10,11,2,2017_Oct_18_1430,100,20,1,17-30 jaar,0,2 objecten,man
gist/man18.png,m,1,0,10,10,11,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
gist/man37.png,m,1,0,15,10,11,4,2017_Oct_18_1430,66.66666666666667,20,1,17-30 jaar,0,4 objecten,man
gist/vrouw27.png,v,1,0,13,11,12,2,2017_Oct_18_1430,84.61538461538461,20,1,17-30 jaar,0,2 objecten,man
gist/vrouw12.png,v,1,0,11,11,12,3,2017_Oct_18_1430,100,20,1,17-30 jaar,0,3 objecten,man
